   78  5      136.40
   11.100000 1980.480000  130.426300   .5266  123.522200      .05  37:25    37.42     1.72
   11.000500 1981.991000  130.417100   .5203  123.500100      .00  37:25    37.42     1.79
   11.000000 1982.000000  130.417100   .5202  123.500000      .00  37:25    37.42     1.79
   10.999500 1982.009000  130.417000   .5202  123.499900      .50  37:55    37.92     1.79
   10.100000 1998.348000  130.337800   .4847  123.350000      .60  38:31    38.53     1.87
    9.100000 2016.513000  130.255100   .4359  123.183300      .68  39:12    39.21     1.97
    8.100000 2034.679000  130.176200   .3799  123.016700      .79  40: 0    40.00     2.07
    7.100000 2052.844000  130.099000   .3197  122.850000      .96  40:57    40.96     2.17
    6.100000 2071.009000  130.020000   .2586  122.683300     1.21  42:10    42.17     2.27
    5.100000 2089.174000  129.932200   .1994  122.516700     1.08  43:15    43.26     2.37
    4.400000 2101.890000  129.857000   .1604  122.400000      .52  43:46    43.78     2.42
    4.100000 2107.339000  129.820100   .1598  122.393000     1.75  45:31    45.52     2.39
    3.100000 2125.504000  129.684300   .1585  122.369800     1.75  47:16    47.27     2.27
    2.100000 2143.670000  129.522600   .1583  122.346500     1.74  49: 1    49.02     2.13
    1.100000 2161.835000  129.321000   .1606  122.323300     1.69  50:42    50.70     1.96
     .100000 2180.000000  129.050000   .1691  122.300000     1.69  52:23    52.39     1.71
   78  4      135.60
   62.000000 1650.000000  135.600000   .1731  122.600000     1.43   0: 0      .00     3.60
   61.100000 1650.381000  135.521800   .1759  122.972000     1.56   1:33     1.56     3.59
   60.100000 1650.803000  135.500700   .1795  123.385300     1.53   3: 5     3.09     3.52
   59.100000 1651.226000  135.479400   .1838  123.798700     1.49   4:34     4.58     3.46
   58.100000 1651.649000  135.457700   .1889  124.212000     1.45   6: 1     6.03     3.40
   57.100000 1652.072000  135.435600   .1949  124.625300     1.40   7:25     7.43     3.34
   56.100000 1652.495000  135.413000   .2020  125.038700     1.35   8:46     8.78     3.28
   55.100000 1652.918000  135.389400   .2106  125.452000     1.29  10: 3    10.06     3.21
   54.100000 1653.341000  135.364300   .2209  125.865300     1.22  11:17    11.29     3.15
   53.100000 1653.764000  135.337100   .2336  126.278700     1.15  12:26    12.44     3.08
   52.100000 1654.187000  135.307200   .2493  126.692000     1.07  13:30    13.51     3.01
   51.100000 1654.609000  135.273500   .2690  127.105300      .99  14:29    14.49     2.94
   50.100000 1655.032000  135.234000   .2947  127.518700      .89  15:23    15.38     2.86
   49.100000 1655.455000  135.185400   .3293  127.932000      .79  16:10    16.17     2.77
   48.100000 1655.878000  135.120900   .3784  128.345300      .66  16:50    16.83     2.66
   47.100000 1656.301000  135.024600   .4586  128.758700      .06  16:53    16.89     2.53
   47.000000 1656.343000  135.012600   .4640  128.800000      .54  17:25    17.43     2.51
   46.100000 1656.724000  134.904900   .4698  128.728700      .59  18: 0    18.02     2.54
   45.100000 1657.147000  134.785400   .4765  128.649400      .58  18:35    18.60     2.58
   44.100000 1657.570000  134.666100   .4834  128.570100      .57  19: 9    19.17     2.61
   43.100000 1657.993000  134.546900   .4906  128.490900      .56  19:43    19.73     2.64
   42.100000 1658.415000  134.427800   .4980  128.411600      .55  20:16    20.28     2.67
   41.100000 1658.838000  134.308600   .5058  128.332300      .54  20:49    20.83     2.71
   40.100000 1659.261000  134.189200   .5139  128.253100      .54  21:21    21.36     2.74
   39.100000 1659.684000  134.069700   .5224  128.173800      .53  21:53    21.89     2.77
   38.100000 1660.107000  133.949700   .5313  128.094500      .52  22:24    22.41     2.81
   37.100000 1660.530000  133.829200   .5408  128.015200      .51  22:54    22.92     2.84
   36.100000 1660.953000  133.708000   .5510  127.936000      .50  23:24    23.42     2.87
   35.100000 1661.376000  133.585800   .5619  127.856700      .49  23:54    23.90     2.90
   34.100000 1661.799000  133.462500   .5737  127.777400      .48  24:22    24.38     2.93
   33.100000 1662.221000  133.337500   .5866  127.698200      .47  24:51    24.85     2.96
   32.100000 1662.644000  133.210600   .6009  127.618900      .46  25:18    25.31     2.98
   31.100000 1663.067000  133.081100   .6173  127.539600      .02  25:19    25.33     3.00
   31.050500 1663.088000  133.074700   .6177  127.535700      .00  25:19    25.33     3.01
   31.050000 1663.088000  133.074600   .6177  127.535700      .00  25:19    25.33     3.01
   31.049500 1663.089000  133.074600   .6177  127.535600      .20  25:31    25.53     3.01
   30.600000 1663.279000  133.015500   .6251  127.500000      .22  25:45    25.76     3.02
   30.100000 1663.490000  132.950200   .6099  127.443200      .47  26:13    26.22     2.95
   29.100000 1663.913000  132.820800   .5815  127.329500      .49  26:42    26.71     2.82
   28.100000 1664.336000  132.692700   .5555  127.215900      .51  27:13    27.22     2.69
   27.100000 1664.759000  132.566200   .5316  127.102300      .53  27:45    27.76     2.57
   26.100000 1665.182000  132.441200   .5093  126.988600      .56  28:18    28.31     2.44
   25.100000 1665.605000  132.318100   .4886  126.875000      .58  28:53    28.89     2.32
   24.100000 1666.027000  132.196800   .4691  126.761400      .60  29:29    29.50     2.20
   23.100000 1666.450000  132.077700   .4508  126.647700      .63  30: 7    30.12     2.08
   22.100000 1666.873000  131.960900   .4334  126.534100      .19  30:19    30.32     1.96
   21.800500 1667.000000  131.926500   .4283  126.500100      .00  30:19    30.32     1.93
   21.800000 1667.000000  131.926400   .4283  126.500000      .00  30:19    30.32     1.93
